"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 14, 2013","1,096.16","1,096.90","1,097.05","1,092.43","-","-0.07%"
"Jan 11, 2013","1,096.90","1,096.86","1,097.31","1,093.45","-","0.00%"
"Jan 10, 2013","1,096.86","1,089.63","1,097.01","1,089.23","-","0.66%"
"Jan 09, 2013","1,089.63","1,085.99","1,091.89","1,085.99","-","0.34%"
"Jan 08, 2013","1,085.99","1,089.20","1,089.20","1,081.86","-","-0.29%"
"Jan 07, 2013","1,089.20","1,092.50","1,092.50","1,085.56","-","-0.30%"
"Jan 04, 2013","1,092.50","1,086.54","1,093.61","1,086.39","-","0.55%"
"Jan 03, 2013","1,086.54","1,088.12","1,091.33","1,083.87","-","-0.15%"
"Jan 02, 2013","1,088.12","1,061.05","1,088.03","1,061.05","-","2.55%"
"Dec 31, 2012","1,061.05","1,043.16","1,061.46","1,040.28","-","1.71%"
"Dec 28, 2012","1,043.16","1,053.97","1,053.97","1,042.57","-","-1.03%"
"Dec 27, 2012","1,053.97","1,055.17","1,057.35","1,042.05","-","-0.11%"
"Dec 26, 2012","1,055.17","1,060.74","1,062.65","1,053.35","-","-0.53%"
"Dec 24, 2012","1,060.74","1,063.38","1,063.38","1,059.25","-","-0.25%"
"Dec 21, 2012","1,063.38","1,073.04","1,073.04","1,058.07","-","-0.90%"
"Dec 20, 2012","1,073.04","1,067.20","1,073.06","1,065.18","-","0.55%"
"Dec 19, 2012","1,067.19","1,074.11","1,074.77","1,067.19","-","-0.64%"
"Dec 18, 2012","1,074.11","1,061.46","1,074.85","1,061.46","-","1.19%"
"Dec 17, 2012","1,061.46","1,049.28","1,061.67","1,049.28","-","1.16%"
"Dec 14, 2012","1,049.28","1,053.30","1,053.30","1,048.06","-","-0.38%"
"Dec 13, 2012","1,053.30","1,059.96","1,062.01","1,050.83","-","-0.63%"
"Dec 12, 2012","1,059.96","1,060.22","1,067.40","1,058.69","-","-0.02%"
"Dec 11, 2012","1,060.22","1,053.20","1,064.44","1,053.20","-","0.67%"
"Dec 10, 2012","1,053.20","1,052.13","1,055.06","1,050.56","-","0.10%"
"Dec 07, 2012","1,052.13","1,049.30","1,053.81","1,047.12","-","0.27%"
"Dec 06, 2012","1,049.30","1,046.27","1,049.39","1,043.59","-","0.29%"
"Dec 05, 2012","1,046.27","1,045.03","1,050.62","1,038.41","-","0.12%"
"Dec 04, 2012","1,045.03","1,046.69","1,049.21","1,042.06","-","-0.16%"
"Dec 03, 2012","1,046.69","1,051.35","1,056.79","1,045.81","-","-0.44%"
"Nov 30, 2012","1,051.35","1,051.06","1,053.03","1,047.85","-","0.03%"
"Nov 29, 2012","1,051.05","1,045.69","1,053.20","1,045.69","-","0.51%"
"Nov 28, 2012","1,045.69","1,037.89","1,045.89","1,027.67","-","0.75%"
"Nov 27, 2012","1,037.89","1,042.67","1,044.99","1,037.34","-","-0.46%"
"Nov 26, 2012","1,042.67","1,044.28","1,044.28","1,036.32","-","-0.15%"
"Nov 23, 2012","1,044.28","1,031.20","1,044.28","1,031.20","-","1.27%"
"Nov 21, 2012","1,031.20","1,028.40","1,031.29","1,027.49","-","0.27%"
"Nov 20, 2012","1,028.40","1,027.39","1,029.61","1,020.82","-","0.10%"
"Nov 19, 2012","1,027.39","1,007.49","1,027.39","1,007.49","-","1.98%"
"Nov 16, 2012","1,007.49","1,001.92","1,008.90","995.03","-","0.56%"
"Nov 15, 2012","1,001.92","1,004.00","1,007.57","997.62","-","-0.21%"
