"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 2015","330.11","331.75","332.01","330.64","-","-0.49%"
"Jun 05, 2015","331.72","333.97","334.05","330.44","-","-0.79%"
"Jun 04, 2015","334.36","336.89","336.99","333.96","-","-0.78%"
"Jun 03, 2015","337.00","336.20","337.87","335.54","-","0.31%"
"Jun 02, 2015","335.96","335.35","337.06","334.48","-","0.18%"
"Jun 01, 2015","335.36","335.49","336.67","334.59","-","-0.07%"
"May 29, 2015","335.59","337.99","338.33","335.17","-","-0.56%"
"May 28, 2015","337.48","338.48","338.92","336.40","-","-0.22%"
"May 27, 2015","338.22","336.36","338.64","335.72","-","0.52%"
"May 26, 2015","336.48","340.11","340.20","335.84","-","-1.19%"
"May 25, 2015","340.52","340.32","340.61","339.99","-","-0.00%"
"May 22, 2015","340.53","341.48","342.36","340.30","-","-0.29%"
"May 21, 2015","341.51","340.61","341.86","340.49","-","0.28%"
"May 20, 2015","340.57","340.85","341.72","340.21","-","-0.06%"
"May 19, 2015","340.77","341.23","341.88","340.48","-","-0.25%"
"May 18, 2015","341.62","341.19","341.62","340.47","-","0.09%"
"May 15, 2015","341.32","340.52","341.32","340.06","-","0.28%"
"May 14, 2015","340.36","338.15","340.60","337.77","-","0.67%"
"May 13, 2015","338.08","336.78","339.37","336.64","-","0.35%"
"May 12, 2015","336.90","337.64","337.92","335.51","-","-0.28%"
"May 11, 2015","337.84","338.53","339.21","337.62","-","-0.21%"
"May 08, 2015","338.55","334.14","338.97","334.10","-","1.37%"
"May 07, 2015","333.98","334.85","334.89","332.63","-","-0.34%"
"May 06, 2015","335.12","335.33","336.46","334.00","-","-0.11%"
"May 05, 2015","335.49","338.32","338.46","335.30","-","-0.86%"
"May 04, 2015","338.41","337.38","338.99","337.29","-","0.21%"
"May 01, 2015","337.71","336.51","337.71","336.07","-","0.39%"
"Apr 30, 2015","336.41","339.41","339.43","335.97","-","-0.99%"
"Apr 29, 2015","339.77","341.27","341.27","338.99","-","-0.44%"
"Apr 28, 2015","341.28","340.90","341.41","339.16","-","0.12%"
"Apr 27, 2015","340.87","340.51","342.32","340.01","-","0.13%"
"Apr 24, 2015","340.44","339.17","340.80","338.94","-","0.42%"
"Apr 23, 2015","339.03","337.74","339.85","337.22","-","0.34%"
"Apr 22, 2015","337.88","336.79","338.05","336.22","-","0.29%"
"Apr 21, 2015","336.91","335.87","337.69","335.83","-","0.25%"
"Apr 20, 2015","336.07","334.95","336.31","334.15","-","0.36%"
"Apr 17, 2015","334.85","338.66","338.76","334.23","-","-0.96%"
"Apr 16, 2015","338.11","337.87","339.52","337.56","-","0.31%"
"Apr 15, 2015","337.08","336.19","338.51","335.61","-","0.18%"
"Apr 14, 2015","336.49","335.47","336.49","334.88","-","0.35%"
"Apr 13, 2015","335.33","336.12","336.79","335.33","-","-0.27%"
"Apr 10, 2015","336.23","334.66","336.23","334.52","-","0.42%"
"Apr 09, 2015","334.84","333.65","335.02","333.32","-","0.31%"
"Apr 08, 2015","333.79","332.35","334.93","332.27","-","0.33%"
"Apr 07, 2015","332.68","331.94","333.94","331.92","-","-0.04%"
"Apr 06, 2015","332.82","331.28","333.00","330.72","-","0.85%"
"Apr 03, 2015","330.01","329.88","331.56","329.79","-","0.07%"
"Apr 02, 2015","329.78","327.60","330.35","327.58","-","0.70%"
"Apr 01, 2015","327.50","327.59","328.32","326.16","-","-0.05%"
"Mar 31, 2015","327.67","330.08","330.57","327.57","-","-0.72%"
"Mar 30, 2015","330.04","327.49","330.27","327.03","-","0.75%"
"Mar 27, 2015","327.59","327.46","327.87","326.55","-","-0.04%"
"Mar 26, 2015","327.71","329.90","329.90","326.21","-","-0.75%"
"Mar 25, 2015","330.17","332.93","333.85","329.94","-","-0.81%"
"Mar 24, 2015","332.85","333.98","334.72","332.85","-","-0.22%"
"Mar 23, 2015","333.59","333.16","334.49","332.48","-","0.25%"
"Mar 20, 2015","332.75","329.04","333.80","328.87","-","1.22%"
"Mar 19, 2015","328.75","330.78","331.71","328.22","-","-0.04%"
"Mar 18, 2015","328.87","325.70","332.21","325.52","-","0.96%"
"Mar 17, 2015","325.74","325.90","326.71","324.58","-","-0.06%"
"Mar 16, 2015","325.94","322.49","325.99","322.33","-","1.00%"
"Mar 13, 2015","322.72","324.37","324.70","321.29","-","-0.53%"
"Mar 12, 2015","324.44","321.12","324.51","321.07","-","1.00%"
"Mar 11, 2015","321.22","321.25","321.84","320.67","-","-0.07%"
"Mar 10, 2015","321.45","326.65","326.71","321.32","-","-1.61%"
"Mar 09, 2015","326.71","327.11","327.11","326.17","-","-0.16%"
"Mar 06, 2015","327.24","330.92","331.46","326.79","-","-1.10%"
"Mar 05, 2015","330.89","330.43","331.38","330.14","-","0.13%"
"Mar 04, 2015","330.45","331.96","331.98","329.04","-","-0.49%"
"Mar 03, 2015","332.08","333.37","333.76","331.41","-","-0.40%"
"Mar 02, 2015","333.43","332.53","333.43","332.40","-","0.24%"
"Feb 27, 2015","332.64","333.06","333.56","332.58","-","-0.15%"
"Feb 26, 2015","333.14","333.63","334.30","332.39","-","-0.13%"
"Feb 25, 2015","333.56","333.36","334.01","332.94","-","0.16%"
"Feb 24, 2015","333.04","331.97","333.47","331.39","-","0.26%"
"Feb 23, 2015","332.17","331.95","332.18","331.18","-","0.08%"
"Feb 20, 2015","331.89","330.55","331.91","329.10","-","0.36%"
"Feb 19, 2015","330.69","330.60","331.11","329.66","-","0.10%"
"Feb 18, 2015","330.35","329.64","330.71","329.39","-","0.28%"
"Feb 17, 2015","329.42","328.77","329.57","328.28","-","0.07%"
"Feb 16, 2015","329.19","329.23","329.56","328.81","-","0.02%"
"Feb 13, 2015","329.12","327.22","329.12","327.20","-","0.73%"
"Feb 12, 2015","326.75","323.29","327.15","323.20","-","1.14%"
"Feb 11, 2015","323.07","323.82","323.96","322.00","-","-0.29%"
"Feb 10, 2015","324.01","322.21","324.01","321.90","-","0.51%"
"Feb 09, 2015","322.36","323.47","323.55","321.95","-","-0.40%"
"Feb 06, 2015","323.66","325.38","325.47","322.90","-","-0.41%"
"Feb 05, 2015","324.98","322.39","325.35","322.03","-","0.65%"
"Feb 04, 2015","322.89","323.29","324.04","322.29","-","0.06%"
"Feb 03, 2015","322.69","318.89","323.19","318.26","-","1.20%"
"Feb 02, 2015","318.87","316.12","318.87","315.12","-","0.86%"
"Jan 30, 2015","316.16","319.22","319.34","316.06","-","-0.94%"
"Jan 29, 2015","319.15","318.23","319.15","316.22","-","0.08%"
"Jan 28, 2015","318.88","321.30","322.37","318.44","-","-0.89%"
"Jan 27, 2015","321.73","322.78","323.64","320.51","-","-0.27%"
"Jan 26, 2015","322.61","321.07","322.69","320.68","-","0.25%"
"Jan 23, 2015","321.79","321.59","322.97","321.48","-","-0.04%"
"Jan 22, 2015","321.92","319.05","321.92","318.61","-","0.92%"
"Jan 21, 2015","318.98","316.74","319.36","316.62","-","0.65%"
"Jan 20, 2015","316.91","315.94","317.80","315.45","-","0.22%"
"Jan 19, 2015","316.22","315.81","316.58","315.47","-","0.31%"
"Jan 16, 2015","315.23","314.02","315.65","312.45","-","0.60%"
"Jan 15, 2015","313.35","313.66","316.56","313.30","-","-0.13%"
"Jan 14, 2015","313.76","315.87","316.07","311.77","-","-0.68%"
"Jan 13, 2015","315.92","315.35","318.77","314.70","-","0.13%"
"Jan 12, 2015","315.52","317.19","317.30","314.51","-","-0.42%"
"Jan 09, 2015","316.86","318.67","319.08","316.17","-","-0.47%"
"Jan 08, 2015","318.36","313.22","318.52","313.22","-","1.86%"
"Jan 07, 2015","312.56","310.59","313.09","310.56","-","0.46%"
"Jan 06, 2015","311.13","313.94","314.03","310.31","-","-0.99%"
"Jan 05, 2015","314.24","319.19","319.49","313.96","-","-1.79%"
"Jan 02, 2015","319.98","320.79","321.21","318.69","-","-0.27%"
"Jan 01, 2015","320.86","320.89","320.89","320.81","-","0.00%"
"Dec 31, 2014","320.86","322.57","323.07","320.82","-","-0.53%"
"Dec 30, 2014","322.58","324.08","324.09","322.51","-","-0.55%"
"Dec 29, 2014","324.35","323.88","324.57","323.60","-","0.19%"
"Dec 26, 2014","323.75","323.15","324.12","323.15","-","0.22%"
"Dec 25, 2014","323.03","323.14","323.40","323.03","-","-0.03%"
"Dec 24, 2014","323.14","322.89","323.58","322.88","-","0.14%"
"Dec 23, 2014","322.69","322.43","322.94","322.11","-","-0.03%"
