1.55,-2.36,0.5,0,,,1.55%,-2.36%,0.50%,0.00%
4.03,0.83,-0.23,0,,,4.03%,0.83%,-0.23%,0.00%
1.29,-0.33,0.1,0,,,1.29%,-0.33%,0.10%,0.00%
5.57,0.31,0.95,0,,,5.57%,0.31%,0.95%,0.00%
1.18,1.52,3.53,0.01,,,1.18%,1.52%,3.53%,0.01%
0.78,0.61,-0.83,0.01,,,0.78%,0.61%,-0.83%,0.01%
-1.76,-1.17,3.56,0.01,,,-1.76%,-1.17%,3.56%,0.01%
2.73,0.54,1.58,0.01,,,2.73%,0.54%,1.58%,0.01%
2.55,0.48,1.3,0.01,,,2.55%,0.48%,1.30%,0.01%
0.79,-2.72,-0.12,0,,,0.79%,-2.72%,-0.12%,0.00%
3.89,0.64,0.59,0,,,3.89%,0.64%,0.59%,0.00%
-6.19,0.09,-1.06,0.01,,,-6.19%,0.09%,-1.06%,0.01%
-0.85,-0.41,-0.77,0,,,-0.85%,-0.41%,-0.77%,0.00%
3.11,-0.66,1.12,0,,,3.11%,-0.66%,1.12%,0.00%
4.42,-1.86,0.43,0,,,4.42%,-1.86%,0.43%,0.00%
5.05,2.06,-0.94,0,,,5.05%,2.06%,-0.94%,0.00%
0.74,-0.6,1.61,0,,,0.74%,-0.60%,1.61%,0.00%
-0.28,-0.17,-0.46,0,,,-0.28%,-0.17%,-0.46%,0.00%
11.35,3.3,0.12,0,,,11.35%,3.30%,0.12%,0.00%
