7.5639,5.8012,5.2143,2.8108,1.6055,1.499,,,7.56%,5.80%,5.21%,2.81%,1.61%,1.50%
-4.7247,-5.3049,-6.4371,-0.9181,-2.493,-1.9052,,,-4.72%,-5.30%,-6.44%,-0.92%,-2.49%,-1.91%
5.0405,4.0593,4.5289,4.7966,3.2326,4.438,,,5.04%,4.06%,4.53%,4.80%,3.23%,4.44%
-6.3714,-6.3411,-5.4589,-1.3988,-1.6533,-2.2657,,,-6.37%,-6.34%,-5.46%,-1.40%,-1.65%,-2.27%
7.1886,5.0835,4.4456,1.6414,2.7949,3.0066,,,7.19%,5.08%,4.45%,1.64%,2.79%,3.01%
-0.7099,0.8644,0.0754,2.4585,2.0155,1.4222,,,-0.71%,0.86%,0.08%,2.46%,2.02%,1.42%
-6.3334,-3.1694,-2.7174,0.4062,0.8862,-0.9248,,,-6.33%,-3.17%,-2.72%,0.41%,0.89%,-0.92%
-3.422,1.119,1.3641,-0.5789,0.7661,4.469,,,-3.42%,1.12%,1.36%,-0.58%,0.77%,4.47%
4.0365,4.7841,5.2094,5.0028,4.7049,3.2109,,,4.04%,4.78%,5.21%,5.00%,4.70%,3.21%
-0.1778,-4.0237,-3.6582,-3.3322,-3.3827,-3.9001,,,-0.18%,-4.02%,-3.66%,-3.33%,-3.38%,-3.90%
1.859,2.8208,1.8819,2.1247,3.716,2.0913,,,1.86%,2.82%,1.88%,2.12%,3.72%,2.09%
5.2722,3.8996,4.5033,3.3407,1.8158,4.6605,,,5.27%,3.90%,4.50%,3.34%,1.82%,4.66%
1.0377,3.0353,3.9612,4.1709,4.7572,3.7752,,,1.04%,3.04%,3.96%,4.17%,4.76%,3.78%
6.3853,6.3642,5.5856,4.0536,3.1967,2.3988,,,6.39%,6.36%,5.59%,4.05%,3.20%,2.40%
-1.0755,-3.4897,-3.8674,-1.7701,-3.1157,-4.3393,,,-1.08%,-3.49%,-3.87%,-1.77%,-3.12%,-4.34%
7.4201,7.0947,7.8964,5.609,4.9284,6.2704,,,7.42%,7.09%,7.90%,5.61%,4.93%,6.27%
-0.2537,0.3429,-0.1102,-1.7688,-0.4034,-1.805,,,-0.25%,0.34%,-0.11%,-1.77%,-0.40%,-1.81%
5,5.3961,5.2232,1.952,1.4421,7.0616,,,5.00%,5.40%,5.22%,1.95%,1.44%,7.06%
-0.8066,-0.8563,-0.1257,1.8592,1.2658,2.1746,,,-0.81%,-0.86%,-0.13%,1.86%,1.27%,2.17%
